date,predicted,model,region
2023-01-02,0.0,random_forest,TUMBES
2023-01-09,0.0,random_forest,TUMBES
2023-01-16,0.0,random_forest,TUMBES
2023-01-23,0.0,random_forest,TUMBES
2023-01-30,0.0,random_forest,TUMBES
2023-02-06,0.0,random_forest,TUMBES
2023-02-13,0.0,random_forest,TUMBES
2023-02-20,0.0,random_forest,TUMBES
2023-02-27,0.0,random_forest,TUMBES
2023-03-06,0.0,random_forest,TUMBES
2023-03-13,0.0,random_forest,TUMBES
2023-03-20,0.0,random_forest,TUMBES
2023-03-27,0.0,random_forest,TUMBES
2023-04-03,0.0,random_forest,TUMBES
2023-04-10,0.0,random_forest,TUMBES
2023-04-17,0.0,random_forest,TUMBES
2023-04-24,0.0,random_forest,TUMBES
2023-05-01,0.0,random_forest,TUMBES
2023-05-08,0.0,random_forest,TUMBES
2023-05-15,0.0,random_forest,TUMBES
2023-05-22,0.0,random_forest,TUMBES
2023-05-29,0.0,random_forest,TUMBES
2023-06-05,0.0,random_forest,TUMBES
2023-06-12,0.0,random_forest,TUMBES
2023-06-19,0.0,random_forest,TUMBES
2023-06-26,0.0,random_forest,TUMBES
2023-07-03,0.0,random_forest,TUMBES
2023-07-10,0.0,random_forest,TUMBES
2023-07-17,0.0,random_forest,TUMBES
2023-07-24,0.0,random_forest,TUMBES
2023-07-31,0.0,random_forest,TUMBES
2023-08-07,0.0,random_forest,TUMBES
2023-08-14,0.0,random_forest,TUMBES
2023-08-21,0.0,random_forest,TUMBES
2023-08-28,0.0,random_forest,TUMBES
2023-09-04,0.0,random_forest,TUMBES
2023-09-11,0.0,random_forest,TUMBES
2023-09-18,0.0,random_forest,TUMBES
2023-09-25,0.0,random_forest,TUMBES
2023-10-02,0.0,random_forest,TUMBES
2023-10-09,0.0,random_forest,TUMBES
2023-10-16,0.0,random_forest,TUMBES
2023-10-23,0.0,random_forest,TUMBES
2023-10-30,0.0,random_forest,TUMBES
2023-11-06,0.0,random_forest,TUMBES
2023-11-13,0.0,random_forest,TUMBES
2023-11-20,0.0,random_forest,TUMBES
2023-11-27,0.0,random_forest,TUMBES
2023-12-04,0.0,random_forest,TUMBES
2023-12-11,0.0,random_forest,TUMBES
2023-12-18,0.0,random_forest,TUMBES
2023-12-25,0.0,random_forest,TUMBES
2023-01-02,0.0,xgboost,TUMBES
2023-01-09,0.0,xgboost,TUMBES
2023-01-16,0.0,xgboost,TUMBES
2023-01-23,0.0,xgboost,TUMBES
2023-01-30,0.0,xgboost,TUMBES
2023-02-06,0.0,xgboost,TUMBES
2023-02-13,0.0,xgboost,TUMBES
2023-02-20,0.0,xgboost,TUMBES
2023-02-27,0.0,xgboost,TUMBES
2023-03-06,0.0,xgboost,TUMBES
2023-03-13,0.0,xgboost,TUMBES
2023-03-20,0.0,xgboost,TUMBES
2023-03-27,0.0,xgboost,TUMBES
2023-04-03,0.0,xgboost,TUMBES
2023-04-10,0.0,xgboost,TUMBES
2023-04-17,0.0,xgboost,TUMBES
2023-04-24,0.0,xgboost,TUMBES
2023-05-01,0.0,xgboost,TUMBES
2023-05-08,0.0,xgboost,TUMBES
2023-05-15,0.0,xgboost,TUMBES
2023-05-22,0.0,xgboost,TUMBES
2023-05-29,0.0,xgboost,TUMBES
2023-06-05,0.0,xgboost,TUMBES
2023-06-12,0.0,xgboost,TUMBES
2023-06-19,0.0,xgboost,TUMBES
2023-06-26,0.0,xgboost,TUMBES
2023-07-03,0.0,xgboost,TUMBES
2023-07-10,0.0,xgboost,TUMBES
2023-07-17,0.0,xgboost,TUMBES
2023-07-24,0.0,xgboost,TUMBES
2023-07-31,0.0,xgboost,TUMBES
2023-08-07,0.0,xgboost,TUMBES
2023-08-14,0.0,xgboost,TUMBES
2023-08-21,0.0,xgboost,TUMBES
2023-08-28,0.0,xgboost,TUMBES
2023-09-04,0.0,xgboost,TUMBES
2023-09-11,0.0,xgboost,TUMBES
2023-09-18,0.0,xgboost,TUMBES
2023-09-25,0.0,xgboost,TUMBES
2023-10-02,0.0,xgboost,TUMBES
2023-10-09,0.0,xgboost,TUMBES
2023-10-16,0.0,xgboost,TUMBES
2023-10-23,0.0,xgboost,TUMBES
2023-10-30,0.0,xgboost,TUMBES
2023-11-06,0.0,xgboost,TUMBES
2023-11-13,0.0,xgboost,TUMBES
2023-11-20,0.0,xgboost,TUMBES
2023-11-27,0.0,xgboost,TUMBES
2023-12-04,0.0,xgboost,TUMBES
2023-12-11,0.0,xgboost,TUMBES
2023-12-18,0.0,xgboost,TUMBES
2023-12-25,0.0,xgboost,TUMBES
