date,year,departamento,hospitalizados_60mas,defunciones_60mas,fatality_rate
2006-01-02,2006,AREQUIPA,0.0,0.0,
2006-01-09,2006,AREQUIPA,0.0,0.0,
2006-01-16,2006,AREQUIPA,0.0,0.0,
2006-01-23,2006,AREQUIPA,0.0,0.0,
2006-01-30,2006,AREQUIPA,0.0,0.0,
2006-02-06,2006,AREQUIPA,0.0,0.0,
2006-02-13,2006,AREQUIPA,0.0,0.0,
2006-02-20,2006,AREQUIPA,0.0,0.0,
2006-02-27,2006,AREQUIPA,0.0,0.0,
2006-03-06,2006,AREQUIPA,0.0,0.0,
2006-03-13,2006,AREQUIPA,0.0,0.0,
2006-03-20,2006,AREQUIPA,0.0,0.0,
2006-03-27,2006,AREQUIPA,0.0,0.0,
2006-04-03,2006,AREQUIPA,0.0,0.0,
2006-04-10,2006,AREQUIPA,0.0,0.0,
2006-04-17,2006,AREQUIPA,0.0,0.0,
2006-04-24,2006,AREQUIPA,0.0,0.0,
2006-05-01,2006,AREQUIPA,0.0,0.0,
2006-05-08,2006,AREQUIPA,0.0,0.0,
2006-05-15,2006,AREQUIPA,0.0,0.0,
2006-05-22,2006,AREQUIPA,0.0,0.0,
2006-05-29,2006,AREQUIPA,0.0,0.0,
2006-06-05,2006,AREQUIPA,0.0,0.0,
2006-06-12,2006,AREQUIPA,0.0,0.0,
2006-06-19,2006,AREQUIPA,0.0,0.0,
2006-06-26,2006,AREQUIPA,0.0,0.0,
2006-07-03,2006,AREQUIPA,0.0,0.0,
2006-07-10,2006,AREQUIPA,0.0,0.0,
2006-07-17,2006,AREQUIPA,0.0,0.0,
2006-07-24,2006,AREQUIPA,0.0,0.0,
2006-07-31,2006,AREQUIPA,0.0,0.0,
2006-08-07,2006,AREQUIPA,0.0,0.0,
2006-08-14,2006,AREQUIPA,0.0,0.0,
2006-08-21,2006,AREQUIPA,0.0,0.0,
2006-08-28,2006,AREQUIPA,0.0,0.0,
2006-09-04,2006,AREQUIPA,0.0,0.0,
2006-09-11,2006,AREQUIPA,0.0,0.0,
2006-09-18,2006,AREQUIPA,0.0,0.0,
2006-09-25,2006,AREQUIPA,0.0,0.0,
2006-10-02,2006,AREQUIPA,0.0,0.0,
2006-10-09,2006,AREQUIPA,0.0,0.0,
2006-10-16,2006,AREQUIPA,0.0,0.0,
2006-10-23,2006,AREQUIPA,0.0,0.0,
2006-10-30,2006,AREQUIPA,0.0,0.0,
2006-11-06,2006,AREQUIPA,0.0,0.0,
2006-11-13,2006,AREQUIPA,0.0,0.0,
2006-11-20,2006,AREQUIPA,0.0,0.0,
2006-11-27,2006,AREQUIPA,0.0,0.0,
2006-12-04,2006,AREQUIPA,0.0,0.0,
2006-12-11,2006,AREQUIPA,3.0,0.0,0.0
2006-12-18,2006,AREQUIPA,0.0,0.0,
2006-12-25,2006,AREQUIPA,0.0,0.0,
2007-01-01,2007,AREQUIPA,6.0,0.0,0.0
2007-01-08,2007,AREQUIPA,0.0,0.0,
2007-01-15,2007,AREQUIPA,3.0,0.0,0.0
2007-01-22,2007,AREQUIPA,0.0,0.0,
2007-01-29,2007,AREQUIPA,0.0,0.0,
2007-02-05,2007,AREQUIPA,6.0,0.0,0.0
2007-02-12,2007,AREQUIPA,3.0,0.0,0.0
2007-02-19,2007,AREQUIPA,6.0,0.0,0.0
2007-02-26,2007,AREQUIPA,0.0,0.0,
2007-03-05,2007,AREQUIPA,15.0,0.0,0.0
2007-03-12,2007,AREQUIPA,0.0,0.0,
2007-03-19,2007,AREQUIPA,6.0,3.0,50.0
2007-03-26,2007,AREQUIPA,0.0,0.0,
2007-04-02,2007,AREQUIPA,3.0,0.0,0.0
2007-04-09,2007,AREQUIPA,0.0,0.0,
2007-04-16,2007,AREQUIPA,0.0,0.0,
2007-04-23,2007,AREQUIPA,0.0,0.0,
2007-04-30,2007,AREQUIPA,0.0,0.0,
2007-05-07,2007,AREQUIPA,0.0,0.0,
2007-05-14,2007,AREQUIPA,3.0,0.0,0.0
2007-05-21,2007,AREQUIPA,0.0,0.0,
2007-05-28,2007,AREQUIPA,0.0,0.0,
2007-06-04,2007,AREQUIPA,0.0,0.0,
2007-06-11,2007,AREQUIPA,6.0,9.0,150.0
2007-06-18,2007,AREQUIPA,0.0,0.0,
2007-06-25,2007,AREQUIPA,18.0,0.0,0.0
2007-07-02,2007,AREQUIPA,0.0,3.0,
2007-07-09,2007,AREQUIPA,18.0,15.0,83.33333333333334
2007-07-16,2007,AREQUIPA,9.0,15.0,166.66666666666669
2007-07-23,2007,AREQUIPA,12.0,12.0,100.0
2007-07-30,2007,AREQUIPA,0.0,3.0,
2007-08-06,2007,AREQUIPA,18.0,0.0,0.0
2007-08-13,2007,AREQUIPA,12.0,0.0,0.0
2007-08-20,2007,AREQUIPA,9.0,6.0,66.66666666666666
2007-08-27,2007,AREQUIPA,24.0,6.0,25.0
2007-09-03,2007,AREQUIPA,0.0,3.0,
2007-09-10,2007,AREQUIPA,15.0,9.0,60.0
2007-09-17,2007,AREQUIPA,15.0,12.0,80.0
2007-09-24,2007,AREQUIPA,9.0,3.0,33.33333333333333
2007-10-01,2007,AREQUIPA,6.0,0.0,0.0
2007-10-08,2007,AREQUIPA,9.0,3.0,33.33333333333333
2007-10-15,2007,AREQUIPA,24.0,12.0,50.0
2007-10-22,2007,AREQUIPA,0.0,3.0,
2007-10-29,2007,AREQUIPA,0.0,0.0,
2007-11-05,2007,AREQUIPA,3.0,9.0,300.0
2007-11-12,2007,AREQUIPA,0.0,3.0,
2007-11-19,2007,AREQUIPA,9.0,0.0,0.0
2007-11-26,2007,AREQUIPA,3.0,3.0,100.0
2007-12-03,2007,AREQUIPA,3.0,3.0,100.0
2007-12-10,2007,AREQUIPA,12.0,6.0,50.0
2007-12-17,2007,AREQUIPA,6.0,0.0,0.0
2007-12-24,2007,AREQUIPA,15.0,3.0,20.0
2007-12-31,2007,AREQUIPA,3.0,0.0,0.0
2008-01-07,2008,AREQUIPA,3.0,3.0,100.0
2008-01-14,2008,AREQUIPA,9.0,9.0,100.0
2008-01-21,2008,AREQUIPA,6.0,6.0,100.0
2008-01-28,2008,AREQUIPA,0.0,0.0,
2008-02-04,2008,AREQUIPA,0.0,3.0,
2008-02-11,2008,AREQUIPA,0.0,0.0,
2008-02-18,2008,AREQUIPA,0.0,0.0,
2008-02-25,2008,AREQUIPA,0.0,3.0,
2008-03-03,2008,AREQUIPA,0.0,3.0,
2008-03-10,2008,AREQUIPA,0.0,0.0,
2008-03-17,2008,AREQUIPA,0.0,0.0,
2008-03-24,2008,AREQUIPA,3.0,3.0,100.0
2008-03-31,2008,AREQUIPA,3.0,3.0,100.0
